Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min)
35,4.3,21.160522,72.771477,21.250522,72.861477,23:24:56,23:34:52,Cloudy,Low ,1,Drinks ,scooter ,0,No ,Metropolitian ,38
32,4,12.934179,77.615797,13.024179,77.705797,21:21:18,21:39:19,Windy,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,47
23,4.8,18.51421,73.838429,18.62421,73.948429,23:40:05,23:45:01,Windy,Low ,2,Buffet ,electric_scooter ,0,No ,Urban ,12
31,4.8,11.022477,76.995667,11.052477,77.025667,22:37:24,22:51:40,Sandstorms,Low ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,26
36,4.1,21.160437,72.774209,21.210437,72.824209,22:36:13,22:42:16,Stormy,Low ,0,Drinks ,motorcycle ,1,No ,Urban ,22
26,4.3,15.51315,73.78346,15.56315,73.83346,23:29:28,23:35:18,Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Urban ,21
38,4.9,15.561295,73.749478,15.601295,73.789478,13:40:46,13:40:35,Cloudy,High ,1,Drinks ,scooter ,1,No ,Urban ,25
32,4.6,18.563934,73.915367,18.693935,74.045367,22:36:45,22:46:34,Cloudy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,30
33,4.9,18.55144,73.804855,18.62144,73.874855,18:57:18,19:11:00,Sunny,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,22
20,4.7,18.593481,73.785901,18.633481,73.825901,14:19:29,14:27:43,Windy,High ,1,Snack ,scooter ,0,No ,Urban ,10
20,4.8,21.173343,72.792731,21.183343,72.802731,11:00:54,11:12:14,Sandstorms,Low ,2,Meal ,scooter ,1,No ,Metropolitian ,19
35,5,17.451976,78.385883,17.471976,78.405883,9:49:54,9:57:09,Sunny,Low ,2,Snack ,scooter ,1,No ,Urban ,11
26,4.9,12.972532,77.608179,12.992532,77.628179,8:41:46,8:58:26,Stormy,Low ,2,Buffet ,scooter ,0,No ,Metropolitian ,11
22,4.8,12.972532,77.608179,13.042532,77.678179,23:02:19,23:12:02,Fog,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,28
35,4.3,13.064181,80.236442,13.134181,80.306442,17:25:56,17:33:18,Cloudy,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,33
37,4.7,21.149569,72.772697,21.239569,72.862697,19:49:09,19:53:08,Sandstorms,Jam ,0,Snack ,motorcycle ,3,No ,Metropolitian ,52
28,4.6,19.091458,72.827808,19.201458,72.937808,19:11:20,19:28:23,Stormy,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,22
37,4.9,22.539129,88.365507,22.559129,88.385507,11:00:23,11:02:20,Fog,Low ,1,Snack ,scooter ,1,No ,Urban ,16
23,4.9,19.221315,72.862381,19.281315,72.922381,21:43:14,21:49:07,Sunny,Jam ,2,Drinks ,electric_scooter ,0,No ,Metropolitian ,11
27,4.9,12.970324,77.645748,13.030324,77.705748,19:05:13,19:19:07,Windy,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,25
37,4.8,13.064181,80.236442,13.104181,80.276442,16:46:54,16:56:06,Cloudy,Medium ,0,Drinks ,motorcycle ,1,No ,Urban ,26
33,5,21.175975,72.795503,21.185975,72.805503,11:34:46,11:42:39,Sunny,High ,2,Snack ,scooter ,1,No ,Metropolitian ,18
31,4.9,23.369746,85.33982,23.409746,85.37982,15:11:26,15:17:44,Fog,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,16
31,4.8,12.914264,77.6784,13.024264,77.7884,22:49:59,22:58:25,Stormy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,23
28,4.8,11.003681,76.975525,11.083681,77.055525,20:46:06,20:56:05,Sandstorms,Jam ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,36
31,4.7,21.173343,72.792731,21.233343,72.852731,22:51:51,23:06:11,Cloudy,Low ,2,Snack ,motorcycle ,0,No ,Metropolitian ,16
24,4.7,10.96185,76.971082,11.05185,77.061082,17:56:54,18:04:20,Sunny,Medium ,0,Buffet ,motorcycle ,0,No ,Urban ,19
39,4.6,27.165108,78.015053,27.255108,78.105053,22:48:27,23:00:58,Sunny,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,27
32,4.5,26.88842,75.800689,26.89842,75.810689,9:30:55,9:40:53,Windy,Low ,2,Buffet ,scooter ,0,No ,NaN ,20
25,4.8,26.913987,75.752891,26.993987,75.832891,22:27:52,22:37:54,Sandstorms,Low ,1,Drinks ,scooter ,0,No ,Urban ,18
33,4.9,12.3085,76.665808,12.3385,76.695808,21:56:59,22:02:35,Sunny,Jam ,2,Drinks ,scooter ,0,No ,Metropolitian ,22
30,4.4,21.183434,72.814492,21.253434,72.884492,22:43:00,22:58:43,Cloudy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,34
33,5,19.254567,72.848923,19.364567,72.958923,23:53:18,23:55:02,Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Urban ,24
36,4.9,18.55144,73.804855,18.59144,73.844855,15:26:14,15:40:45,Fog,Medium ,2,Drinks ,scooter ,1,No ,Metropolitian ,17
21,4.8,25.449659,81.839744,25.469659,81.859744,10:22:51,10:32:33,Sandstorms,Low ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,14
39,4.9,30.372202,78.077151,30.422202,78.127151,20:56:26,21:04:11,Stormy,Jam ,2,Meal ,motorcycle ,1,No ,Metropolitian ,30
39,4.6,12.972793,80.249982,13.062793,80.339982,20:15:09,20:18:57,Cloudy,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,36
22,4.7,21.157735,72.768778,21.197735,72.808778,12:15:28,12:17:50,Sunny,High ,1,Buffet ,scooter ,1,No ,Urban ,18
32,4.6,21.186438,72.794115,21.226438,72.834115,15:34:13,15:46:25,Fog,Medium ,1,Meal ,scooter ,0,No ,Metropolitian ,17
26,4.7,17.431477,78.40035,17.491477,78.46035,23:55:26,0:09:32,Fog,Low ,1,Buffet ,motorcycle ,0,No ,Metropolitian ,10
35,4.1,13.064181,80.236442,13.154181,80.326442,20:28:18,20:43:18,Sandstorms,Jam ,1,Buffet ,motorcycle ,2,No ,Metropolitian ,37
39,4.6,12.933298,77.614293,13.023298,77.704293,20:51:04,21:02:49,Fog,Jam ,1,Drinks ,scooter ,2,No ,Metropolitian ,44
34,4.7,22.311358,73.164798,22.351358,73.204798,12:37:58,12:46:06,Windy,High ,2,Drinks ,electric_scooter ,1,No ,Metropolitian ,28
27,4.7,12.934365,77.616155,13.044365,77.726155,21:04:23,21:17:20,Cloudy,Jam ,2,Snack ,scooter ,1,No ,Metropolitian ,42
25,4.4,13.086438,80.220672,13.196438,80.330672,18:20:12,18:24:34,Cloudy,Medium ,2,Snack ,scooter ,1,No ,Metropolitian ,39
25,4.7,19.254567,72.848923,19.364567,72.958923,18:24:02,18:29:55,Stormy,Medium ,0,Meal ,motorcycle ,0,No ,Urban ,20
30,5,26.913483,75.803139,26.933483,75.823139,11:49:55,11:53:00,Stormy,High ,1,Buffet ,motorcycle ,1,No ,Metropolitian ,31
24,4.6,17.411028,78.329645,17.471028,78.389645,20:46:50,20:59:35,Stormy,Jam ,1,Buffet ,motorcycle ,0,No ,Metropolitian ,13
39,4.8,18.516216,73.842527,18.566216,73.892527,21:57:59,22:13:18,Stormy,Jam ,1,Meal ,motorcycle ,,No ,Metropolitian ,28
25,4.8,15.5696,73.742294,15.6096,73.782294,12:47:18,12:52:18,Windy,High ,1,Snack ,scooter ,1,No ,Urban ,19
37,4.6,19.876428,75.364792,19.956428,75.444792,23:32:58,23:49:25,Fog,Low ,0,Buffet ,motorcycle ,2,Yes ,Urban ,42
24,5,12.939496,77.625999,12.949496,77.635999,10:52:13,10:58:51,Fog,Low ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,23
25,4.2,17.433809,78.386744,17.543809,78.496744,21:28:33,21:44:19,Stormy,Jam ,0,Meal ,motorcycle ,1,No ,Metropolitian ,39
32,4.6,23.374878,85.335739,23.384878,85.345739,10:13:03,10:23:07,Stormy,Low ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,25
34,4.7,27.163303,78.057044,27.233303,78.127044,23:04:00,23:08:59,Sandstorms,Low ,1,Drinks ,scooter ,0,No ,Metropolitian ,15
38,4.9,22.74806,75.8934,22.76806,75.9134,8:43:53,8:58:17,Cloudy,Low ,2,Drinks ,scooter ,1,No ,Urban ,15
36,4.8,26.891191,75.802083,26.981191,75.892083,17:51:09,17:58:57,Sunny,Medium ,2,Buffet ,electric_scooter ,0,No ,Metropolitian ,15
25,5,21.160437,72.774209,21.270437,72.884209,20:29:32,20:40:33,Stormy,Jam ,1,Meal ,motorcycle ,,No ,Metropolitian ,15
29,5,12.316967,76.603067,12.366967,76.653067,22:23:15,22:25:03,Sunny,Low ,0,Drinks ,motorcycle ,0,No ,Metropolitian ,18
36,4.7,18.927584,72.832585,19.017584,72.922585,23:44:35,23:50:57,Sandstorms,Low ,2,Drinks ,electric_scooter ,0,No ,Metropolitian ,29
33,4.7,11.022298,76.998349,11.072298,77.048349,23:29:14,23:33:22,Fog,Low ,0,Snack ,motorcycle ,0,No ,Metropolitian ,20
36,4.4,12.325461,76.632278,12.365461,76.672278,12:40:37,12:56:06,Cloudy,High ,2,Meal ,scooter ,1,No ,Metropolitian ,39
21,4.8,18.530963,73.828972,18.640963,73.938972,23:30:43,23:49:25,Windy,Low ,0,Snack ,motorcycle ,0,No ,Metropolitian ,19
25,4.8,17.458998,78.500366,17.488998,78.530366,23:57:58,0:10:05,Cloudy,Low ,1,Snack ,scooter ,1,No ,Urban ,19
23,4.8,19.1813,72.836191,19.3113,72.966191,22:50:16,23:00:50,Windy,Low ,0,Meal ,motorcycle ,0,No ,Metropolitian ,17
25,4.6,11.022477,76.995667,11.032477,77.005667,10:27:52,10:40:03,Stormy,Low ,2,Snack ,motorcycle ,1,No ,Urban ,15
24,4.3,22.727021,75.884167,22.747021,75.904167,8:46:34,9:04:39,Sandstorms,Low ,0,Meal ,motorcycle ,0,No ,Urban ,19
27,4.6,12.979166,77.640709,13.069166,77.730709,21:27:34,21:43:14,Sandstorms,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,29
23,4.8,18.994237,72.825553,19.104237,72.935553,22:35:26,22:42:56,Cloudy,Low ,2,Snack ,scooter ,1,No ,Urban ,22
21,4.3,12.284747,76.625861,12.414747,76.755861,20:12:18,20:22:44,Fog,Jam ,1,Drinks ,scooter ,0,No ,Metropolitian ,42
27,4.7,21.175975,72.795503,21.195975,72.815503,10:55:59,11:13:26,Sandstorms,Low ,2,Snack ,scooter ,0,No ,Urban ,12
32,4.2,11.000762,76.981876,11.130762,77.111876,20:35:51,20:47:11,Cloudy,Jam ,1,Snack ,motorcycle ,1,No ,Metropolitian ,38
25,4.6,21.173343,72.792731,21.283343,72.902731,23:20:56,23:35:10,Sunny,Low ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,23
39,4.7,26.479108,80.315042,26.499108,80.335042,10:38:50,10:54:41,Cloudy,Low ,1,Meal ,scooter ,0,No ,Metropolitian ,15
27,4.6,21.175104,72.804342,21.255104,72.884342,23:50:38,23:52:38,Sunny,Low ,0,Snack ,motorcycle ,1,No ,Metropolitian ,24
39,3.8,19.176269,72.836721,19.286269,72.946721,19:56:42,20:04:01,Windy,Jam ,1,Drinks ,motorcycle ,0,No ,Metropolitian ,37
31,4.8,12.975377,77.696664,13.025377,77.746664,22:18:25,22:26:43,Sandstorms,Low ,1,Snack ,scooter ,0,No ,Metropolitian ,24
31,4.8,23.359194,85.325447,23.419194,85.385447,23:14:14,23:19:01,Sunny,Low ,2,Buffet ,electric_scooter ,0,No ,Metropolitian ,13
20,4.8,12.297954,76.665169,12.307954,76.675169,9:18:33,9:31:55,Cloudy,Low ,0,Drinks ,motorcycle ,0,No ,NaN ,16
36,4.9,23.359407,85.325055,23.439407,85.405055,18:28:08,18:36:29,Cloudy,Medium ,0,Drinks ,motorcycle ,1,No ,Urban ,42
20,4.9,23.416792,85.316842,23.506792,85.406842,22:13:06,22:24:08,Sandstorms,Low ,0,Meal ,motorcycle ,1,No ,Metropolitian ,17
24,4.6,26.892312,75.806896,26.922313,75.836896,20:55:06,21:05:37,Cloudy,Jam ,0,Drinks ,motorcycle ,0,No ,Metropolitian ,25
39,4.2,22.761593,75.886362,22.871593,75.996362,18:47:39,18:52:51,Fog,Medium ,1,Snack ,scooter ,0,No ,Metropolitian ,39
37,4.8,11.026117,76.944652,11.066117,76.984652,14:58:51,15:09:56,Sunny,High ,2,Meal ,scooter ,0,No ,Metropolitian ,18
32,4.9,13.064181,80.236442,13.104181,80.276442,16:55:44,17:02:19,Sandstorms,Medium ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,28
22,4.5,26.483042,80.317833,26.533042,80.367833,22:21:40,22:37:41,Sandstorms,Low ,1,Drinks ,scooter ,1,No ,Metropolitian ,18
23,4.9,11.000762,76.981876,11.130762,77.111876,0:02:16,0:19:31,Windy,Low ,1,Meal ,scooter ,0,No ,Metropolitian ,18
33,4.7,23.359033,85.325347,23.469033,85.435347,21:14:33,21:24:19,Fog,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,49
27,4.6,12.914264,77.6784,12.994264,77.7584,23:33:06,23:39:45,Sunny,Low ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,21
34,4.7,19.121999,72.908493,19.161999,72.948493,14:21:46,14:35:05,Sunny,High ,2,Snack ,scooter ,0,No ,Metropolitian ,23
26,5,21.157729,72.768726,21.167729,72.778726,10:16:20,10:28:29,Fog,Low ,2,Meal ,scooter ,1,No ,Urban ,11
31,4.6,22.311603,73.165012,22.371603,73.225012,21:21:30,21:36:29,Cloudy,Jam ,0,Snack ,motorcycle ,0,No ,Metropolitian ,25
32,4.9,18.536562,73.896485,18.556562,73.916485,8:51:45,8:58:07,Fog,Low ,2,Snack ,motorcycle ,0,No ,Metropolitian ,18
27,4.7,22.745536,75.893106,22.765536,75.913106,9:03:19,9:07:20,Cloudy,Low ,1,Buffet ,motorcycle ,0,No ,Metropolitian ,14
21,4.9,12.933298,77.614293,13.023298,77.704293,17:47:20,18:03:11,Windy,Medium ,0,Drinks ,motorcycle ,2,No ,Metropolitian ,36
28,4.8,12.939496,77.625999,12.989496,77.675999,23:12:30,23:16:59,Fog,Low ,1,Drinks ,motorcycle ,,No ,Metropolitian ,18
33,4.4,17.426228,78.407495,17.436228,78.417495,8:34:36,8:43:22,Sandstorms,Low ,0,Snack ,motorcycle ,1,No ,Metropolitian ,28
20,4.6,12.934365,77.616155,13.024365,77.706155,20:39:38,20:54:00,Fog,Jam ,0,Buffet ,motorcycle ,0,Yes ,Metropolitian ,44
31,4.3,11.003669,76.976494,11.063669,77.036494,23:29:24,23:42:24,Windy,Low ,0,Snack ,motorcycle ,1,No ,Metropolitian ,20
36,5,22.311358,73.164798,22.381358,73.234798,19:57:20,20:05:04,Fog,Jam ,1,Snack ,motorcycle ,1,No ,Metropolitian ,35
31,4.2,12.986047,80.218114,13.096047,80.328114,21:21:32,21:34:14,Sandstorms,Jam ,0,Meal ,motorcycle ,1,No ,Metropolitian ,50
39,4.1,17.41233,78.449654,17.47233,78.509654,21:48:27,21:51:05,Stormy,Jam ,1,Meal ,scooter ,1,No ,Metropolitian ,34
29,4.6,21.17106,72.789292,21.25106,72.869292,19:42:14,19:57:38,Sunny,Jam ,2,Meal ,electric_scooter ,,No ,Metropolitian ,17
29,4.6,21.186884,72.793616,21.226884,72.833616,14:51:58,15:00:08,Sandstorms,High ,1,Snack ,scooter ,0,No ,Urban ,23
37,4.9,11.026117,76.944652,11.056117,76.974652,18:14:36,18:22:56,Fog,Medium ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,27
31,3.9,19.065838,72.832658,19.135838,72.902658,23:44:46,23:50:28,Cloudy,Low ,1,Buffet ,scooter ,1,No ,Metropolitian ,35
26,4.4,12.98041,77.640489,13.04041,77.700489,23:24:04,23:31:14,Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,NaN ,23
24,4.6,11.022477,76.995667,11.132477,77.105667,17:54:32,18:01:58,Stormy,Medium ,0,Snack ,motorcycle ,0,No ,Metropolitian ,30
39,4.8,12.310972,76.659264,12.350972,76.699264,12:34:42,12:48:35,Cloudy,High ,0,Snack ,motorcycle ,1,No ,Metropolitian ,28
20,4.7,11.025083,77.015393,11.105083,77.095393,17:11:41,17:24:37,Sandstorms,Medium ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,24
20,5,12.316967,76.603067,12.446967,76.733067,19:16:07,19:31:31,Cloudy,Jam ,0,Meal ,motorcycle ,1,No ,Urban ,36
29,4.3,22.538731,88.364878,22.598731,88.424878,23:53:10,23:59:09,Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Metropolitian ,28
36,4.8,11.001753,76.986241,11.111753,77.096241,18:47:57,18:51:58,Fog,Medium ,2,Drinks ,motorcycle ,1,No ,Urban ,31
36,4,22.310237,73.158921,22.400237,73.248921,20:44:58,20:45:24,Sunny,Jam ,0,Meal ,motorcycle ,3,No ,Metropolitian ,44
22,4.8,23.359033,85.325347,23.439033,85.405347,22:14:15,22:27:21,Windy,Low ,1,Drinks ,scooter ,1,No ,Metropolitian ,15
38,4.4,18.593481,73.785901,18.663481,73.855901,17:24:36,17:28:37,Windy,Medium ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,33
39,4.9,21.186438,72.794115,21.236438,72.844115,20:00:28,20:12:38,Fog,Jam ,0,Buffet ,motorcycle ,0,No ,Metropolitian ,30
24,4.9,22.725748,75.898497,22.775748,75.948497,18:18:09,18:28:35,Stormy,Medium ,1,Snack ,scooter ,1,No ,Metropolitian ,22
35,4.8,17.450851,78.379347,17.540851,78.469347,17:29:32,17:36:55,Fog,Medium ,0,Meal ,motorcycle ,3,No ,Metropolitian ,48
33,4.5,13.081878,80.248519,13.171878,80.338519,23:49:49,0:02:33,Stormy,Low ,2,Drinks ,electric_scooter ,1,No ,Metropolitian ,19
39,4.7,10.035573,76.336958,10.105573,76.406958,18:35:11,18:38:43,Windy,Medium ,1,Snack ,motorcycle ,1,No ,Urban ,21
31,4.3,22.308096,73.167753,22.388096,73.247753,21:36:26,21:45:38,Windy,Jam ,1,Drinks ,motorcycle ,0,No ,Metropolitian ,44
37,4.5,12.975996,80.221898,12.985996,80.231898,8:41:46,8:58:11,Windy,Low ,2,Drinks ,scooter ,0,No ,Metropolitian ,26
37,4.7,12.3085,76.665808,12.3385,76.695808,22:37:42,22:43:09,Windy,Low ,1,Buffet ,scooter ,1,No ,Metropolitian ,26
33,5,19.178321,72.834715,19.188321,72.844715,11:45:59,11:54:43,Windy,High ,1,Meal ,motorcycle ,1,No ,Metropolitian ,31
33,4.5,26.910262,75.783013,26.990262,75.863013,19:11:57,19:15:52,Sunny,Jam ,1,Snack ,scooter ,0,No ,Metropolitian ,18
39,4.7,25.443994,81.860187,25.513994,81.930187,18:47:46,19:02:00,Fog,Medium ,2,Meal ,motorcycle ,1,No ,Metropolitian ,38
37,4.6,23.359194,85.325447,23.449194,85.415447,18:16:07,18:29:39,Cloudy,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,32
25,4.9,17.458998,78.500366,17.508998,78.550366,22:31:06,22:39:34,Sandstorms,Low ,2,Meal ,scooter ,1,No ,Metropolitian ,17
28,4.8,18.530963,73.828972,18.590963,73.888972,19:03:56,19:09:56,Fog,Medium ,1,Buffet ,scooter ,1,No ,Urban ,11
38,4.7,12.321214,76.621094,12.361214,76.661094,13:15:07,13:23:38,Windy,High ,2,Buffet ,motorcycle ,1,No ,Metropolitian ,31
31,4.6,12.3085,76.665808,12.3685,76.725808,17:56:36,18:05:54,Windy,Medium ,0,Meal ,motorcycle ,0,No ,Metropolitian ,25
25,4.8,19.055831,72.833984,19.115831,72.893984,19:52:35,20:05:20,Cloudy,Jam ,2,Snack ,motorcycle ,1,No ,Metropolitian ,22
35,4.9,12.337928,76.617889,12.407928,76.687889,21:18:10,21:24:31,Fog,Jam ,0,Drinks ,motorcycle ,3,No ,Metropolitian ,43
39,4.7,23.351489,85.324253,23.421489,85.394253,19:38:47,19:46:23,Fog,Jam ,0,Buffet ,motorcycle ,1,Yes ,Metropolitian ,42
38,3.9,22.728163,75.884212,22.808163,75.964212,19:11:27,19:23:31,Stormy,Jam ,1,Meal ,motorcycle ,0,No ,Metropolitian ,42
35,4.7,13.026286,80.275235,13.056286,80.305235,21:20:54,21:30:53,Fog,Jam ,1,Drinks ,motorcycle ,1,No ,Metropolitian ,34
29,4.7,26.766536,75.837333,26.786536,75.857333,9:54:07,10:05:27,Sandstorms,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,17
27,4.6,21.149834,72.778666,21.179834,72.808666,20:38:50,20:44:37,Stormy,Jam ,1,Snack ,scooter ,0,No ,Metropolitian ,25
38,4.3,12.3085,76.665808,12.3985,76.755808,21:19:48,21:27:42,Sandstorms,Jam ,0,Meal ,motorcycle ,1,Yes ,Semi-Urban ,54
36,4.9,21.149669,72.772629,21.219669,72.842629,23:01:15,23:17:57,Windy,Low ,2,Buffet ,motorcycle ,0,No ,Metropolitian ,21
26,4,17.411028,78.329645,17.451028,78.369645,15:04:04,15:11:46,Cloudy,High ,1,Buffet ,motorcycle ,,No ,Metropolitian ,34
26,4.1,26.482581,80.315628,26.572581,80.405628,19:47:11,19:53:05,Fog,Jam ,2,Meal ,motorcycle ,1,No ,Metropolitian ,36
36,4.9,12.284747,76.625861,12.344747,76.685861,17:49:42,17:58:48,Sunny,Medium ,1,Drinks ,motorcycle ,0,No ,Metropolitian ,17
21,4.7,26.911378,75.789034,26.921378,75.799034,9:02:00,9:11:36,Sunny,Low ,0,Meal ,motorcycle ,1,No ,Metropolitian ,16
35,4.7,13.02978,80.208812,13.10978,80.288812,20:02:27,20:09:21,Sunny,Jam ,2,Meal ,electric_scooter ,1,No ,Metropolitian ,27
20,4.5,12.323194,76.630583,12.363194,76.670583,12:53:25,12:57:21,Fog,High ,2,Meal ,motorcycle ,1,No ,Metropolitian ,26
23,4.6,18.563934,73.915367,18.653934,74.005367,21:41:18,21:56:24,Fog,Jam ,0,Snack ,motorcycle ,2,Yes ,Metropolitian ,46
37,5,22.569367,88.433187,22.629367,88.493187,19:56:30,20:09:05,Sunny,Jam ,0,Buffet ,motorcycle ,0,No ,Metropolitian ,29
26,4.8,12.949934,77.699386,13.009934,77.759386,19:37:44,19:41:20,Sandstorms,Jam ,0,Snack ,motorcycle ,1,No ,Metropolitian ,23
29,5,21.175975,72.795503,21.255975,72.875503,22:36:38,22:51:14,Sandstorms,Low ,1,Snack ,scooter ,,No ,Urban ,11
26,4.9,22.725835,75.887648,22.835835,75.997648,17:14:39,17:26:56,Stormy,Medium ,1,Snack ,motorcycle ,0,No ,Metropolitian ,28
29,4.8,18.536562,73.896485,18.596562,73.956485,19:37:35,19:43:43,Cloudy,Jam ,0,Meal ,motorcycle ,1,No ,Metropolitian ,25
29,4.7,23.416792,85.316842,23.436792,85.336842,10:32:49,10:47:18,Sandstorms,Low ,2,Snack ,motorcycle ,0,No ,Metropolitian ,11
21,4.9,30.89286,75.822199,30.92286,75.852199,18:13:13,18:21:11,Windy,Medium ,1,Meal ,scooter ,1,No ,Metropolitian ,26
